variavel: Total das Receitas;;;;;;;;;
caminho: /Finanças Públicas/Tributos Federais/Total das Receitas;;;;;;;;;
fonte: Ministério da Fazenda - Secretaria da Receita Federal. ;;;;;;;;;
agrupador: Município;;;;;;;;;
descricao: ;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$);2011 (R$);2012 (R$);2013 (R$);2014 (R$);2015 (R$)
Liberato Salzano;4311601;-27,60099999999;-53,07529999999;1413233;1589777;2345698;3056374;3514289;3653121
Lindolfo Collor;4311627;-29,58589999999;-51,2141;10081274;10229207;11186416;12271588;14531551;12991615
Linha Nova;4311643;-29,4679;-51,20029999999;975016;1090979;1838748;2150329;2329179;2261063
Maçambará;4311718;-29,1445;-56,06739999999;2415887;2960537;3705024;3787794;3891682;4307325
Machadinho;4311700;-27,5667;-51,6668;2835815;3537640;5147040;5658742;6693420;7801636
Mampituba;4311734;-29,2136;-49,9311;454938;719704;936384;1097622;968364;1064090
Manoel Viana;4311759;-29,58589999999;-55,48409999999;2041892;3580243;5786742;6232095;6939067;7388147
Maquiné;4311775;-29,6798;-50,2079;7595209;3632105;3952396;3660194;4553756;4771490
Maratá;4311791;-29,5457;-51,55729999999;4040041;3914706;2605710;2793459;3708998;2588265
Marau;4311809;-28,4498;-52,19859999999;130200667;145074725;188551262;206028568;178157765;178037293
Marcelino Ramos;4311908;-27,4676;-51,9095;3383836;4145859;6004239;6540551;7301059;7284416
Mariana Pimentel;4311981;-30,3531;-51,5803;1095526;1223399;1693966;2361616;2572984;3022747
Mariano Moro;4312005;-27,3568;-52,1467;1718147;2133403;2942042;3600218;3964163;3592764
Marques de Souza;4312054;-29,33109999999;-52,09729999999;3099430;3471107;4537271;4808733;5654564;6385377
Mata;4312104;-29,5649;-54,4641;1587624;1890378;3476282;4752114;5521913;5455827
Mato Castelhano;4312138;-28,28;-52,19319999999;1798842;2111617;2604914;2833761;3702048;4380238
Mato Leitão;4312153;-29,5285;-52,1278;9337660;8336605;9834481;10159794;10723204;10640590
Mato Queimado;4312179;-28,2475;-54,61919999999;826829;905929;1174838;1236201;1443383;1707180
Maximiliano de Almeida;4312203;-27,6325;-51,8021;3104985;4083241;5603293;6143827;6325926;6010386
Minas do Leão;4312252;-30,13459999999;-52,04229999999;10776636;14367498;18868188;23490104;28275892;31963423
Miraguaí;4312302;-27,497;-53,6891;2985629;4457062;6048209;7648738;9318476;8314006
Montauri;4312351;-28,6462;-52,0767;4128105;5224687;4491281;4668540;5777749;6063155
Monte Alegre dos Campos;4312377;-28,68049999999;-50,7834;1178236;2762568;3424512;2449522;2185610;2713435
Monte Belo do Sul;4312385;-29,16069999999;-51,63329999999;4813636;4380059;5524256;6003192;6533249;4777184
