variavel: Total;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Total;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (MWh);2011 (MWh);2012 (MWh);2013 (MWh);2014 (MWh);2015 (MWh);2016 (MWh);2017 (MWh);2018 (MWh)
Itapuca;4310579;-28,7768;-52,1693;259;254;267;276;305;293;277;305;301
Itaqui;4310603;-29,131;-56,55149999999;178396;176487;206175;193061;213726;178082;187888;179674;185054
Itati;4310652;-29,48832;-50,11357999999;2897;3007;3174;3483;4047;3902;4181;4908;4752
Itatiba do Sul;4310702;-27,38459999999;-52,4538;3561;3534;3625;3574;3883;3822;3766;3814;3916
Ivorá;4310751;-29,52319999999;-53,5842;672;703;753;791;868;873;847;867;861
Ivoti;4310801;-29,59949999999;-51,1533;52941;56187;59859;64251;68633;64048;64929;65529;67606
Jacutinga;4310900;-27,72909999999;-52,53719999999;5980;6373;6596;6849;6913;6746;7617;7988;8899
Jaguarão;4311007;-32,5604;-53,377;39509;43550;44288;45260;46844;46114;49295;48035;50282
Jaguari;4311106;-29,4936;-54,703;14825;16558;16290;15782;17529;15881;16080;16635;17258
Jaquirana;4311122;-28,8811;-50,3637;4753;5022;5312;5339;5597;5698;5871;5955;6257
Jari;4311130;-29,2922;-54,2237;1233;1240;1305;1346;1546;1485;1447;1522;1609
Jóia;4311155;-28,6435;-54,1141;5959;6496;6909;6967;8260;7480;7749;8173;8417
Júlio de Castilhos;4311205;-29,2298;-53,67719999999;24545;26846;26051;27889;32160;31534;33667;31779;34607
Lagoa Bonita do Sul;4311239;-29,48819999999;-53,0138;3074;3170;3111;3187;3797;3572;3449;3692;3750
Lagoa dos Três Cantos;4311270;-28,56759999999;-52,8618;1519;1673;1610;1771;1930;1856;2011;2032;2097
Lagoa Vermelha;4311304;-28,20929999999;-51,52479999999;46226;50050;53439;57556;59910;55789;56574;58353;60548
Lagoão;4311254;-29,2348;-52,7997;977;1008;997;1032;1083;1028;1039;1060;1104
Lajeado;4311403;-29,45909999999;-51,96439999999;489202;532387;565352;565120;615412;620569;618470;610774;657251
Lajeado do Bugre;4311429;-27,69129999999;-53,1818;405;415;485;460;499;483;567;685;728
Lavras do Sul;4311502;-30,80709999999;-53,89309999999;7946;8596;8858;8839;9603;9359;9352;9175;9519
Liberato Salzano;4311601;-27,60099999999;-53,07529999999;5157;5374;5754;6357;6683;6621;6660;7140;7508
Lindolfo Collor;4311627;-29,58589999999;-51,2141;18092;17452;18005;20393;22968;20019;21033;22152;22829
Linha Nova;4311643;-29,4679;-51,20029999999;2160;2335;2502;2605;2872;2881;2942;3013;3164
Maçambará;4311718;-29,1445;-56,06739999999;17347;17869;17161;20533;23707;18482;21826;21422;24619
Machadinho;4311700;-27,5667;-51,6668;5802;6141;6617;6891;7927;7922;8185;8744;8964
Mampituba;4311734;-29,2136;-49,9311;2239;2311;2433;2693;3081;3061;3224;3514;3449
Manoel Viana;4311759;-29,58589999999;-55,48409999999;9767;10499;10858;10846;11809;10660;10460;10963;11476
Maquiné;4311775;-29,6798;-50,2079;10559;11531;11513;11472;12513;12021;12500;13202;12934
Maratá;4311791;-29,5457;-51,55729999999;4570;4660;4805;4982;5292;5201;5102;5009;5326
Marau;4311809;-28,4498;-52,19859999999;83023;179178;185255;198906;207359;195014;194272;198143;201564
Marcelino Ramos;4311908;-27,4676;-51,9095;9481;9495;9859;9975;10805;10720;10863;11192;11547
Mariana Pimentel;4311981;-30,3531;-51,5803;3669;4131;4488;4662;5079;4971;4996;5477;5303
Mariano Moro;4312005;-27,3568;-52,1467;3061;3088;3184;3471;3627;3637;3576;3654;3709
Mata;4312104;-29,5649;-54,4641;6340;7439;7910;7575;8295;8587;9132;9550;10727
Mato Leitão;4312153;-29,5285;-52,1278;9565;10468;9753;9521;10464;10250;10338;11285;11393
Maximiliano de Almeida;4312203;-27,6325;-51,8021;5324;5451;5588;5788;6085;6213;6069;6182;6341
Minas do Leão;4312252;-30,13459999999;-52,04229999999;10496;10780;10821;11518;14139;12816;12650;9845;10192
Miraguaí;4312302;-27,497;-53,6891;8530;9883;11020;12555;13951;15123;15553;17184;17990
Montauri;4312351;-28,6462;-52,0767;3463;3645;3738;4047;4448;4786;4695;4933;4601
Monte Alegre dos Campos;4312377;-28,68049999999;-50,7834;2198;2347;4256;2968;2997;3035;3264;3491;3549
Monte Belo do Sul;4312385;-29,16069999999;-51,63329999999;3674;10739;11231;11861;10640;8848;8140;8036;8068
Montenegro;4312401;-29,6824;-51,4679;288006;283876;348983;351249;368365;352180;338353;343072;357477
Mormaço;4312427;-28,6968;-52,6999;2059;2322;2513;2436;2833;2718;2865;2958;3140
Morrinhos do Sul;4312443;-29,3578;-49,9328;3985;3926;4100;4299;4760;4704;4746;5076;5026
